Id,Name,created_at,Νεα Δημοκρατια,Συριζα,Κιναλ,ΚΚΕ,prob
1141,Vsou***,2010,--,---,--,--,0.06
8223,firt***,2016,+++,--,+,-,0.10
8255,Gr_A***,2016,---,--,-,--,0.31
8263,_Mav***,2016,---,--,+,-,0.30
8266,ey_p***,2016,=,+++,-,++,0.22
8284,Gio_***,2016,+,---,-,-,0.27
8302,avgg***,2016,-,--,-,--,0.09
8540,Thom***,2016,+,-,=,++,0.24
8856,Fili***,2017,++,+,+,+++,0.07
9748,Just***,2018,-,--,--,--,0.67
19859,OBqA***,2016,++,++,-,+,0.18
4443,THIV***,2012,-,---,=,--,0.28
12316,Nina***,2020,=,---,=,=,0.15
9137,spor***,2017,---,-,=,=,0.29
17191,Nata***,2022,+,+,+,-,0.30
17659,taur***,2022,++,---,-,--,0.52
11482,Tito***,2020,--,---,+,--,0.63
12120,kolo***,2020,-,--,-,-,0.22
17259,Mace***,2022,++,-,-,--,0.90
17669,Eirw***,2020,---,-,=,=,0.32
557,jenn***,2009,+,=,+++,++,0.10
2897,Zeos***,2011,---,-,-,=,0.19
512,vkon***,2009,-,--,-,---,0.07
2965,LKAL***,2011,---,--,-,--,0.04
17680,xris***,2016,-,=,++,++,0.08
17430,Mx82***,2022,--,---,-,---,0.73
17482,efev***,2022,--,---,++,--,0.94
17678,Krag***,2022,-,---,=,-,0.95
17053,Ioan***,2022,--,-,---,---,0.40
13573,Rita***,2021,---,+++,-,-,0.14
17679,TheW***,2021,-,---,=,-,0.35
3840,tbic***,2012,-,--,-,--,0.17
8363,trol***,2016,--,++,-,--,0.54
17687,Abdu***,2022,++,++,+,---,0.82
17688,MNyc***,2022,+++,=,=,=,0.19
17690,Alec***,2022,-,--,-,+++,0.91
4428,Sefe***,2012,-,--,+,++,0.16
1870,Armo***,2011,---,--,-,-,0.07
3116,anas***,2011,+,++,=,+,0.09
17742,Radi***,2022,-,---,--,---,0.77
17745,Anna***,2012,---,-,-,--,0.11
17746,DJ_J***,2009,-,--,-,--,0.15
3199,wwwf***,2011,+++,---,--,++,0.17
1071,dink***,2010,+++,--,-,-,0.18
17752,kost***,2015,++,-,+,--,0.19
17753,andr***,2013,---,=,=,-,0.07
2979,00_k***,2011,+,-,=,--,0.19
2627,hatz***,2011,+,---,--,--,0.35
2575,Pavl***,2011,---,-,+,-,0.33
6737,stel***,2014,-,---,=,---,0.25
17754,Biro***,2019,=,--,--,-,0.35
10833,mpou***,2019,+,--,-,-,0.29
4135,Vasi***,2012,--,--,--,--,0.21
4254,anen***,2012,--,--,-,--,0.57
15791,Tham***,2022,---,-,-,-,0.53
6805,auto***,2015,++,--,=,+,0.21
19472,Aris***,2019,-,---,-,-,0.82
5803,Rodo***,2013,+,-,-,=,0.07
5057,klik***,2013,-,---,+,+,0.05
17759,Kiri***,2014,---,---,=,-,0.22
17762,Foti***,2012,+++,+,--,=,0.21
20380,lost***,2020,---,---,-,+,0.26
10341,GKai***,2018,--,--,--,--,0.19
20382,phra***,2020,++,+++,+,++,0.33
9892,isma***,2018,---,--,-,--,0.26
11978,sous***,2020,---,-,--,-,0.49
20381,lbDz***,2020,=,++,-,-,0.52
1147,AKor***,2010,+++,--,-,--,0.18
20388,Agge***,2020,--,--,+,++,0.57
11712,CLia***,2020,+++,+,=,++,0.42
12196,Brb8***,2020,---,--,-,-,0.44
1660,ckas***,2010,-,---,-,--,0.12
3014,j******,2011,=,--,-,--,0.08
17781,KLou***,2012,=,---,-,-,0.18
6680,Andr***,2014,---,-,=,-,0.24
17782,mari***,2015,---,--,-,--,0.25
5467,evia***,2013,--,--,--,-,0.21
6359,petr***,2014,--,---,-,-,0.09
4035,jorg***,2012,+++,++,-,+,0.19
3028,hopf***,2011,+,=,=,+++,0.41
2550,Adre***,2011,-,---,-,--,0.03
17787,mari***,2013,-,---,-,-,0.10
17789,mrfa***,2011,+++,-,-,---,0.10
17793,_ele***,2010,+,-,---,--,0.28
6091,Ysta***,2014,---,--,--,-,0.49
573,1******,2009,--,-,-,-,0.15
223,mano***,2009,---,--,--,-,0.09
9206,O_Eg***,2017,---,=,---,-,0.56
17136,expi***,2022,+++,+,+,+,0.63
10412,P_Ts***,2019,+++,--,-,++,0.06
17801,teli***,2015,--,--,-,---,0.35
17802,nikc***,2012,-,---,--,--,0.08
12424,deme***,2020,---,---,-,-,0.60
3726,imid***,2012,--,---,+,-,0.23
17805,Koud***,2013,-,+++,=,-,0.20
17807,Papa***,2013,--,---,-,---,0.08
1317,Nick***,2010,+,--,-,+,0.20
17808,kat_***,2021,---,---,-,-,0.16
22168,kate***,2021,---,--,=,-,0.16
851,gkak***,2009,---,-,-,-,0.16
3246,Mikh***,2011,-,---,-,--,0.30
